                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.97287,                0.86572,                 1.0987,                0.84074,                0.75338,                 0.8437,                0.64134,                0.93141,                0.76447,                 1.0268,               0.006634,               0.006634,               0.006634
                     36,                0.97016,                 0.8946,                 1.0978,                0.83388,                0.72082,                0.83363,                0.62591,                0.93139,                0.79907,                 1.0315,               0.006535,               0.006535,               0.006535
                     37,                0.96719,                0.89861,                 1.1071,                 0.8362,                 0.7426,                0.83896,                0.62168,                0.94186,                0.77494,                 1.0392,               0.006436,               0.006436,               0.006436
                     38,                0.98412,                0.85352,                 1.0858,                0.81953,                0.76049,                0.84393,                0.63371,                0.91685,                0.75665,                 1.0188,               0.006337,               0.006337,               0.006337
                     39,                0.97012,                0.87661,                 1.0879,                0.81811,                0.78209,                0.85679,                 0.6546,                0.90982,                0.74156,                 1.0114,               0.006238,               0.006238,               0.006238
                     40,                0.95225,                0.85272,                 1.0686,                0.79024,                0.76595,                0.83958,                0.63009,                0.93688,                0.78085,                 1.0292,               0.006139,               0.006139,               0.006139
                     41,                0.91317,                 0.8166,                 1.0617,                0.79536,                0.81006,                0.86002,                0.66811,                0.88476,                0.72527,                0.99723,                0.00604,                0.00604,                0.00604
                     42,                0.96459,                0.84328,                 1.0631,                0.84612,                0.78788,                0.86742,                 0.6797,                0.87096,                0.71162,                0.98943,               0.005941,               0.005941,               0.005941
                     43,                0.93216,                0.84147,                 1.0755,                0.88141,                0.77238,                0.87098,                0.68074,                0.85872,                0.67859,                0.98333,               0.005842,               0.005842,               0.005842
                     44,                0.95223,                0.80955,                 1.0492,                0.88043,                0.77001,                0.87255,                0.66824,                0.89001,                0.68448,                0.99468,               0.005743,               0.005743,               0.005743
                     45,                0.94093,                0.81762,                 1.0698,                0.85438,                0.77178,                0.87049,                0.66538,                0.90373,                0.68114,                0.99959,               0.005644,               0.005644,               0.005644
                     46,                0.91856,                0.81521,                 1.0696,                0.88767,                0.78134,                0.88233,                0.67623,                0.87663,                0.66337,                0.98967,               0.005545,               0.005545,               0.005545
                     47,                0.93819,                0.82397,                 1.0522,                0.85945,                0.79437,                0.87637,                0.67522,                 0.8869,                0.65249,                0.99263,               0.005446,               0.005446,               0.005446
                     48,                0.93722,                0.80925,                 1.0708,                0.86514,                0.82862,                0.88193,                0.68485,                0.86616,                0.64987,                0.98626,               0.005347,               0.005347,               0.005347
                     49,                0.87662,                0.77381,                 1.0512,                0.90102,                0.80227,                0.88291,                0.69021,                0.85485,                0.64574,                0.98119,               0.005248,               0.005248,               0.005248
                     50,                0.92066,                0.77744,                 1.0579,                0.89475,                0.79217,                0.88318,                0.69092,                0.84076,                0.66194,                0.97445,               0.005149,               0.005149,               0.005149
                     51,                0.91592,                0.78534,                 1.0612,                0.89408,                0.82264,                0.89588,                0.70567,                0.82828,                0.62825,                0.97025,                0.00505,                0.00505,                0.00505
                     52,                0.88416,                0.77041,                 1.0276,                0.87867,                0.83938,                0.90034,                  0.711,                0.81715,                0.61338,                0.96554,               0.004951,               0.004951,               0.004951
                     53,                0.93518,                0.76871,                 1.0602,                0.90217,                0.80929,                0.89633,                0.71168,                0.80376,                0.60063,                0.95964,               0.004852,               0.004852,               0.004852
                     54,                0.88418,                0.74622,                 1.0439,                0.89485,                0.81337,                0.89358,                0.70968,                0.80987,                0.59261,                0.96116,               0.004753,               0.004753,               0.004753
                     55,                0.88952,                0.74524,                  1.046,                0.91978,                0.80396,                0.89885,                0.71296,                0.79491,                0.58625,                0.95342,               0.004654,               0.004654,               0.004654
                     56,                 0.8749,                0.74456,                 1.0592,                0.86799,                0.83569,                0.89554,                0.71729,                0.79385,                0.57931,                0.94874,               0.004555,               0.004555,               0.004555
                     57,                0.88529,                0.72612,                 1.0338,                 0.8918,                 0.8242,                0.89998,                0.71575,                0.77029,                0.58812,                0.94221,               0.004456,               0.004456,               0.004456
                     58,                0.87232,                0.74201,                 1.0382,                0.86154,                0.86522,                0.90468,                0.73137,                0.75979,                0.56917,                0.93685,               0.004357,               0.004357,               0.004357
                     59,                0.87091,                0.73179,                 1.0407,                0.87723,                0.85404,                0.90113,                0.73173,                0.75609,                0.55648,                 0.9345,               0.004258,               0.004258,               0.004258
                     60,                0.83238,                0.71129,                 1.0327,                0.87195,                0.86378,                0.90495,                0.72829,                0.75754,                0.54676,                0.93488,               0.004159,               0.004159,               0.004159
                     61,                0.87972,                0.71539,                 1.0289,                0.90516,                0.83042,                0.90866,                0.73882,                0.75794,                0.54614,                0.93389,                0.00406,                0.00406,                0.00406
                     62,                0.79935,                0.68236,                 1.0095,                0.87567,                0.86345,                0.91129,                0.74502,                0.74184,                0.54139,                0.92833,               0.003961,               0.003961,               0.003961
                     63,                0.86098,                0.71045,                 1.0216,                0.90021,                0.84484,                  0.905,                0.74042,                0.74588,                0.54075,                0.92729,               0.003862,               0.003862,               0.003862
                     64,                0.87609,                 0.7127,                 1.0104,                0.90862,                0.84753,                0.91444,                0.74766,                0.73731,                0.53577,                0.92499,               0.003763,               0.003763,               0.003763
                     65,                0.82691,                0.69362,                 1.0205,                0.91532,                0.84243,                0.90949,                0.75258,                0.74459,                0.54246,                0.92852,               0.003664,               0.003664,               0.003664
                     66,                0.82106,                0.68326,                 1.0088,                0.89596,                 0.8421,                0.90634,                0.74483,                0.74397,                0.54061,                0.92858,               0.003565,               0.003565,               0.003565
                     67,                0.81614,                0.67813,                 1.0203,                0.91759,                0.83631,                 0.9091,                0.75267,                0.73188,                0.53203,                0.92636,               0.003466,               0.003466,               0.003466
                     68,                0.84307,                 0.6862,                 1.0102,                  0.923,                0.83969,                0.91002,                0.74965,                0.72075,                0.52383,                0.92111,               0.003367,               0.003367,               0.003367
                     69,                0.76266,                0.65295,                 0.9889,                 0.9398,                0.82854,                0.91435,                0.74963,                0.70198,                0.51894,                0.91398,               0.003268,               0.003268,               0.003268
                     70,                0.81759,                0.67176,                 1.0101,                0.93315,                 0.8334,                0.91545,                0.75272,                0.70058,                0.51941,                0.91263,               0.003169,               0.003169,               0.003169
                     71,                0.79816,                 0.6466,                0.99932,                 0.9292,                0.84195,                0.91855,                0.75475,                 0.6904,                0.50918,                 0.9082,                0.00307,                0.00307,                0.00307
                     72,                0.77853,                0.63789,                 1.0097,                0.92266,                0.84842,                0.91883,                0.75527,                0.69063,                0.50677,                0.90696,               0.002971,               0.002971,               0.002971
